                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88279,                 5.1691,                 2.4129,                 1.3714,                0.99566,                0.38553,                0.64603,                 0.5155,                0.99348,                0.38384,                0.64097,                0.44528,                 0.6513,                 4.6779,                 2.2457,                 1.2956,             0.00035007,             0.00035007,             0.00035007
                      2,                0.59136,                 1.3337,                0.94228,                 1.1305,                0.57687,                0.94969,                0.82546,                0.60578,                0.57511,                0.94359,                0.81188,                0.57323,                0.48806,                 2.1026,                 3.2519,                 1.1345,             0.00070971,             0.00070971,             0.00070971
                      3,                0.56362,                 1.0056,                0.74961,                 1.0957,                0.69708,                0.83279,                 0.7927,                0.53165,                0.70813,                0.78922,                0.76793,                0.48235,                0.76555,                 1.3848,                 1.4988,                 1.5334,              0.0010621,              0.0010621,              0.0010621
                      4,                0.57477,                0.96047,                0.65734,                  1.095,                0.86765,                0.86992,                0.90637,                0.65831,                0.86065,                 0.8733,                0.91662,                0.69488,                0.66331,                0.90109,                0.96012,                 1.3937,              0.0014072,              0.0014072,              0.0014072
                      5,                0.56745,                0.95166,                0.58348,                 1.0832,                0.42487,                0.82608,                0.76175,                0.52746,                0.57888,                0.41332,                0.45009,                0.30691,                 1.0575,                 6.9374,                 2.7551,                 1.8278,               0.001601,               0.001601,               0.001601
                      6,                0.56779,                 0.8956,                0.52935,                 1.0863,                0.64418,                0.65645,                0.63668,                0.36291,                0.67239,                0.68217,                0.67462,                 0.4023,                 2.0873,                0.82525,                 2.7542,                 2.5698,               0.001601,               0.001601,               0.001601
                      7,                0.55117,                0.87241,                0.48344,                  1.074,                0.96879,                0.96441,                 0.9817,                0.82926,                0.95649,                0.95227,                0.96659,                0.71041,                0.57077,                 1.7588,                0.69775,                 1.3389,              0.0015845,              0.0015845,              0.0015845
                      8,                0.53705,                 0.8412,                0.45342,                 1.0621,                0.97982,                0.96062,                0.98374,                0.91987,                0.97982,                0.96062,                0.98374,                0.87194,                 0.4067,                 0.8962,                0.48485,                  1.008,               0.001568,               0.001568,               0.001568
                      9,                0.52175,                0.81977,                0.43109,                 1.0591,                0.88699,                0.97725,                0.97553,                0.75999,                0.88264,                0.97161,                0.97392,                0.66255,                0.75628,                 1.6491,                 1.5033,                 1.3552,              0.0015515,              0.0015515,              0.0015515
                     10,                0.51981,                0.83598,                0.41611,                  1.055,                 0.9585,                0.96951,                0.98479,                0.83224,                 0.9585,                0.96951,                0.98479,                0.81073,                0.56059,                0.84986,                0.83372,                 1.0781,               0.001535,               0.001535,               0.001535
